n_objects,bottleneck_size,message_type,PosDis,TopSim,prediction_acc,causal_specificity,codebook_entropy,seed
3,40,scene_level,0.9977,0.4951,0.7083,0.9977,0.6695,0
3,40,scene_level,0.9958,0.5534,0.7052,0.9958,0.8368,1
3,40,scene_level,0.7951,0.4847,0.6903,0.7951,0.4851,2
3,40,scene_level,0.9958,0.5235,0.6750,0.9958,0.5384,3
3,40,scene_level,0.9950,0.5079,0.6951,0.9950,0.5446,4
5,40,scene_level,0.9771,0.4755,0.6823,0.9771,0.5104,0
5,40,scene_level,0.9952,0.5266,0.6931,0.9952,0.5805,1
5,40,scene_level,0.9965,0.5369,0.7094,0.9965,0.7150,2
5,40,scene_level,0.9806,0.4968,0.6892,0.9806,0.4700,3
5,40,scene_level,0.9962,0.5194,0.6743,0.9962,0.6689,4
8,40,scene_level,0.7462,0.4591,0.6906,0.7462,0.4653,0
8,40,scene_level,0.7459,0.5262,0.7073,0.7459,0.6357,1
8,40,scene_level,0.9955,0.5321,0.6875,0.9955,0.7270,2
8,40,scene_level,0.9905,0.5082,0.7076,0.9905,0.7069,3
8,40,scene_level,0.9962,0.4795,0.6278,0.9962,0.4757,4
12,40,scene_level,0.8646,0.5350,0.6545,0.8646,0.4614,0
12,40,scene_level,0.9953,0.5445,0.7132,0.9953,0.7773,1
12,40,scene_level,0.9926,0.4966,0.7198,0.9926,0.6814,2
12,40,scene_level,0.9950,0.5246,0.7080,0.9950,0.6119,3
12,40,scene_level,0.9932,0.5353,0.6378,0.9932,0.6043,4
8,80,scene_level,0.7462,0.4591,0.6906,0.7462,0.4653,0
8,80,scene_level,0.7459,0.5262,0.7073,0.7459,0.6357,1
8,160,scene_level,0.7462,0.4591,0.6906,0.7462,0.4653,0
8,160,scene_level,0.7459,0.5262,0.7073,0.7459,0.6357,1
8,320,scene_level,0.7462,0.4591,0.6906,0.7462,0.4653,0
8,320,scene_level,0.7459,0.5262,0.7073,0.7459,0.6357,1
